Nom,Position gvt,Entrée/Sortie,Entrée,Sortie,Entreprise,Position GAFAMUT,Entree/Sortie,Entrée,Sortie,Direct,Source
Anne-Sophie Bordry,Economie numérique,2008-2010,2008,2010,Facebook,Public policy,2010-2013,2010,2013,1,https://www.linkedin.com/in/annesophiebordry
Laurent Solly,Interieur,2005-2007,2005,2007,Facebook,Head France,2013-today,2013,aujourd'hui,0,http://abonnes.lemonde.fr/technologies/article/2013/04/25/laurent-solly-un-sarko-boy-a-la-tete-de-facebook-france_3166862_651865.html
Anton'Maria Battesti,MAE-Cnil,2009-2012,2009,2012,Facebook,Public policy,2013-today,2013,aujourd'hui,0,https://fr.linkedin.com/in/battestiam
Elisa Borry,Stagiaire AN,2015,2015,2015,Facebook,Politics and government,2015-today,2015,aujourd'hui,1,https://fr.linkedin.com/in/elisa-borry-70148263
Iris Boyer,Economie ambassade,2014-2015,2014,2015,Facebook,Policy programmes,2015-today,2015,aujourd'hui,1,https://uk.linkedin.com/in/iris-boyer-41211165
Elisabeth Bargès,DDM,2008-2010,2008,2010,Google,Public policy,2010-today,2010,aujourd'hui,0,https://www.linkedin.com/in/elisabethbarges
Benoît Tabaka,CNNum,2011-2012,2011,2012,Google,Policy manager,2012-today,2012,aujourd'hui,1,https://www.linkedin.com/in/benoittabaka
Ludovic Peran,AP @ AN,2013-2015,2013,2015,Google,Public policy,2015-today,2015,aujourd'hui,1,https://www.linkedin.com/in/ludovicperan
Stanislas Bosch-Chomont,Economie,2007-2011,2007,2011,Microsoft,Public affairs ,2011-today,2011,aujourd'hui,1,https://fr.linkedin.com/in/stanislas-bosch-chomont-64678b60?trk=pub-pbmap
Jean-Renaud Roy,AP @ Sénat,2001-2012,2001,2012,Microsoft,Public affairs ,2014-today,2014,aujourd'hui,0,https://fr.linkedin.com/in/jeanrenaudroy?trk=pub-pbmap
Marie-Charlotte Roques Bonnet,Cnil,2010-2014,2010,2014,Microsoft,Privacy policy,2015-today,2015,aujourd'hui,1,https://fr.linkedin.com/in/marie-charlotte-roques-bonnet-01274a2b
Jérôme Tomasini,Interieur-Presidence,2006-2011,2006,2011,Twitter,Partnerships manager,2013-today,2013,aujourd'hui,0,https://fr.linkedin.com/in/jerometomasini/fr
Grégoire Kopp,Transports,2014-2015,2014,2015,Uber,Communication France,2015-today,2015,aujourd'hui,1,https://fr.linkedin.com/in/gregoirekopp
Alexandre Quitard Kaigre,Etalab,2011-2015,2011,2015,Uber,Public policy,2015-today,2015,aujourd'hui,1,https://fr.linkedin.com/in/alexandrequintardkaigre
Shakti Rosemberg,Santé,2014-2015,2014,2015,Uber,Office coordinator,2015-today,2015,aujourd'hui,1,https://www.linkedin.com/in/shakti-rosemberg-15729840
Clara Brenot,AP @ Sénat,2012-2013,2012,2013,Uber,Public policy,2016-today,2016,aujourd'hui,0,https://fr.linkedin.com/in/clara-brenot-b4946630
Gwenaelle Verpeaux,EducNat et Recherch,2003-2007,2003,2007,Google,Communication manager,2012-2012,2012,2012,0,https://www.linkedin.com/in/gwenaelle-verpeaux-640a022b
Gwenaelle Verpeaux,EducNat et Recherch,2003-2007,2003,2007,Amazon,Communication grand public,2014-today,2014,aujourd'hui,0,https://www.linkedin.com/in/gwenaelle-verpeaux-640a022b
Vanessa Miler-Fels,Développement durable,2009-2013,2009,2013,Microsoft,Energy Portfolio Manager,2015-today,2015,aujourd'hui,0,https://www.linkedin.com/in/vanessa-miler-fels-03851231
Benoît Loutrel,ARCEP,2004-2017,2004,2017,Google,Public affairs,2017-today,2017,aujourd'hui,1,https://twitter.com/FabienneSchmitt/status/820249383233081344
Claire Foulquier-Gazagnes,Etalab,2014-2106,2014,2016,Google,Elections project,2016-today,2016,aujourd'hui,1,https://www.linkedin.com/in/claire-foulquier-gazagnes/en
Marc Mossé,AP @ Sénat,,,,Microsoft,Directeur juridique,2006-today,2006,aujourd'hui,,http://lemondedudroit.fr/interviews-portraits-profession-juriste/216008-marc-mosse-directeur-juridique-microsoft.html
